Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Eswatini,0.404,0.404,0.404,0.41,0.41,0.41,0.408,0.41,0.618,0.629,0.649,0.565,0.536,0.596,0.612,0.634,0.6,0.628,0.6369,0.71521,0.739,0.806,0.653,0.551,0.554,0.671953,0.753253,0.714285,0.740284071,0.744794979
        Ethiopia,1.221,1.435,1.433,1.453,1.536,1.595,1.634,1.627,1.70062,2.03496,2.06774,2.32004,2.56192,2.86928,3.2904,3.54728,3.76508,3.97976,4.98954,6.31658,7.56528,8.66062,9.47192,10.38586,12.46986,13.13605,13.78592,14.2241,14.23484732,14.67815115
        Gabon,1.027,1.067,1.071,1.181,1.185,1.241,1.275,1.291,1.2767,1.34506,1.4286,1.46482,1.48414,1.513,1.609,1.68,1.778,1.801,1.86486,1.96148,2.07936,2.02282,1.91848,2.04618,2.24568,2.18761,2.16929,2.259598,2.195922097,2.286328839
        Gambia,0.067,0.069,0.069,0.07,0.071,0.075,0.082,0.091,0.1105,0.127,0.142,0.158,0.174,0.192,0.204,0.217,0.229,0.2301,0.2333,0.2446,0.2541,0.2481,0.2671,0.2821,0.2981,0.3061,0.3131,0.3048353,0.289586675,0.307921822
        Ghana,6.575,6.249,6.059,6.054,6.585,6.816,4.725,5.828,7.13422,7.73294,7.10748,5.7259,5.87838,6.67646,8.2144,6.75594,8.14932,8.78,9.92274,10.92166,11.72182,12.5269,12.63308,11.17828,11.39404,12.83426,14.37678,16.6991,20.1902,20.9306928
        Guinea,0.502,0.507,0.509,0.522,0.527,0.62,0.643,0.725,0.743,0.933,0.984,0.865,0.942,0.881,0.843,0.942,0.967,0.9629,0.9199,0.8499,0.7069,0.644,0.696,1.1396,1.61654,1.773953,1.494324,2.061,3.203097677,2.778671928
        Guinea-Bissau,0.041,0.044,0.046,0.047,0.048,0.05,0.05,0.051,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.031,0.032,0.033,0.0333,0.059076,0.07952,0.07991,0.08168,0.082458,0.082458,0.082458
        Kenya,3.392,3.578492,3.616,4.035,4.218,4.414,4.535,4.314,4.05356,4.59252,4.75162,5.09798,5.45342,5.8623,6.32428,6.5196,6.40744,6.56226,7.22478,7.57486,8.0844,8.67744,8.36198,9.869,9.689,10.713,11.2364,11.4773,11.75,11.83251388
        Lesotho,0,0,0,0,0,0,0,0.195,0.288,0.285,0.314,0.325,0.297,0.459,0.525,0.554,0.584,0.648,0.694,0.49,0.486,0.515,0.521,0.53319,0.523028,0.539674,0.539674,0.501,0.501,0.50122
        Liberia,0.282,0.28,0.28,0.28,0.28,0.294,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.28,0.28,0.282,0.282,0.291,0.376,0.376,0.322,0.318,0.897,0.920232
        Libya,15.933,15.98,16.732,16.92,17.202,17.836,12.716,13.522,14.56624,15.14434,16.47914,17.80642,18.98988,21.312,23.269,24.66,28.878,29.182,30.60488,24.43942,32.21892,35.6387,35.46762,35.26082,29.53528,31.28556,32.12122,31.69634,30.09492439,32.02048755
        Madagascar,0.58,0.581,0.584,0.609,0.664,0.695,0.75,0.777,0.78,0.886,0.866,0.99,1.1,1.111,1.134,1.184,1.232,1.235,1.32945,1.34829,1.70134,1.85574,1.96983,2.05227,2.02413,2.21108,2.27079,2.020047,1.976233,2.093128464
        Malawi,0.783,0.953,1,1.018,1.017,1.045,1.184,1.157,1.241,1.269,1.332,1.351,1.489,1.52,1.554,1.585,1.73,1.714,1.951,2.009,2.086,2.094259,2.2037,2.204601,2.192726,2.086975,1.635474,1.696378,1.71,1.424462345
        Mali,0.271,0.292,0.275,0.305,0.326,0.379,0.387,0.392,0.399,0.402,0.404,0.434,0.45,0.782,0.837,0.823,1,1.123,1.70892,1.89117,2.2509,2.27745,2.35022,2.31755,2.77098,3.29292,3.53727,3.31598,3.199162239,3.388220623
        Mauritania,0.139,0.139,0.143,0.16,0.175,0.189,0.195,0.203,0.229658,0.278,0.501,0.475,0.518,0.499,0.453,0.478,0.547,0.58,0.632,0.83,0.911,0.939,0.983,1.1363,1.21826,1.52088,1.69008,1.818,1.775118844,1.875855218
        Mauritius,0.875,0.934,0.974,1.06,0.925,1.073,1.115,1.349,1.681222,1.800656,1.841246,1.971006,2.049926,2.145066,2.214026,2.32117,2.43815,2.45839,2.5659,2.59926,2.65092,2.74942,2.79634,2.85704,2.89832,2.97018,2.98177,3.0869,2.7363,2.885610665
        Morocco,9.184,9.338,10.349,12.066,12.364,13.162,13.393,13.113,12.13114,14.19886,15.16242,16.4867,17.49562,18.72854,19.14016,19.22538,19.50828,19.9071,23.5821,24.9381,27.318,26.7,27.615414,29.499414,30.349,31.4378,34.136028,39.860361,38.217589,41.150914
        Mozambique,0.408,0.386,0.389,0.402,0.47,0.993,1.512,7.629,9.60436,11.77836,12.61472,10.83478,11.63224,13.19574,14.6298,15.95522,15.02422,16.83722,16.55286,16.7288,15.08184,14.79246,17.5806,19.69688,18.53324,16.7942,16.83459,18.717719,19.34346088,19.90774462
        Namibia,0,0,0,1.155,0.882,0.634,1.007,1.195,1.398,1.36164,1.44694,1.51016,1.58694,1.67202,1.679,1.593,1.643,1.472,1.29752,1.42344,1.63984,1.33746,1.51222,1.55896,1.46128,1.74404,1.4083,1.36136,1.957,1.56716
        Niger,0.153,0.149,0.138,0.139,0.143,0.14,0.136,0.142,0.178,0.156,0.172,0.18,0.189,0.219,0.206,0.209,0.212,0.239,0.2726,0.32148,0.38206,0.42066,0.42266,0.50638,0.50274,0.53388,0.53762,0.60342,0.4265,0.450852
        Nigeria,14.247,13.913,14.877,13.889,14.367,14.697,14.73,15.432,14.144,14.844,20.676,19.358,23.237,22.528,22.049,21.92394,20.14266,18.83012,24.88718,25.72094,27.30318,27.45858,30.6099,30.80597,32.00501,32.78739,31.85828,31.647071,29.73432393,31.45787819
        Reunion,1.05,1.062,1.074,1.152,1.215,1.41,1.499,1.503,1.941,2.098,2.076,2.165,2.389,2.499,2.534,2.586,2.688,2.779,2.85,2.893,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
        Rwanda,0.174,0.157,0.16,0.162,0.144,0.164,0.164,0.131,0.114,0.09125,0.0996875,0.12,0.092,0.113,0.161,0.1592,0.1842,0.2402,0.27482,0.31738,0.3354,0.37748,0.4752,0.5823,0.67266,0.76726,0.860882,1.011711,0.910912,0.8546512
        Saint Helena,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.00837916,0.00767604,0.00789224,0.0080793,0.00731038,0.00849666,0.008393,0.008930152
        Sao Tome and Principe,0.015,0.015,0.018,0.019,0.02,0.021,0.022,0.026,0.028,0.024,0.03,0.031,0.035,0.039,0.04,0.043,0.045,0.049,0.054,0.056,0.061,0.067,0.072,0.078,0.082,0.085,0.087,0.0899,0.0951,0.1005464
        Senegal,1.004,0.993,1.025,1.071,1.133,1.216,1.279,1.317,1.44,1.689,1.794,1.904,1.995,2.275,2.281,2.46748,2.587,2.65786,2.81858,2.86534,3.16248,3.30144,3.63756,3.88164,4.17114,4.47188,4.66082,5.17598,5.233902475,5.615708528
        Seychelles,0.103,0.11,0.118,0.121,0.125,0.139,0.149,0.162,0.178,0.18,0.205,0.21,0.212,0.217,0.237,0.255,0.253,0.259,0.283,0.377,0.39,0.409,0.41925,0.435572,0.46631,0.483102,0.48858,0.535894,0.5962,0.6431768
        Sierra Leone,0.216,0.219,0.223,0.09,0.135,0.09,0.103,0.068,0.089,0.131,0.148,0.135,0.112,0.078,0.039,0.057,0.058,0.06,0.163,0.172,0.173,0.16,0.181844,0.196022,0.209584,0.218866,0.254672,0.207708,0.20681017,0.207889733
        Somalia,0.249,0.252,0.255,0.256,0.259,0.259,0.26,0.261,0.235,0.245,0.258,0.263,0.263,0.273,0.282,0.292,0.301,0.305,0.307,0.31,0.324,0.334,0.3341,0.3352,0.342,0.3472,0.3472,0.3462,0.3802,0.40788
        South Africa,157.079,163.268,170.705,176.051,186.188,195.063,191.041,188.49,195.82886,196.28928,203.2381,217.20568,227.5277,227.92804,235.4471,245.56207,239.68607,230.64077,241.98442,243.45328,239.86604,237.53878,235.54795,230.81604,234.47229,236.33738,235.64056,232.99074,220.12096,221.4995447
        Sudan,1.59,1.639,1.803,1.8,1.993,2.073,2.033,2.338,2.574,2.843,3.092,3.341,3.454,3.803,4.458,4.9408,5.39742,6.415,7.49518,8.39572,9.32998,10.23186,11.26822,12.81638,14.10332,15.2273,15.90455,16.31026,16.47127864,16.59542448
        Tanzania,1.79,1.847,1.676,1.808,1.959,1.66,2.407,2.346,2.439,2.718,2.82,2.627,2.838,3.43,3.312,4.058,4.256,4.657,5.15612,5.01124,5.4772,5.77572,6.08866,6.5569,6.97612,7.01072,7.22022,7.59084,8.005382814,8.168690514
        Togo,0.212,0.315,0.242,0.344,0.283,0.19,0.284,0.282,0.17,0.119,0.147,0.172,0.179,0.181,0.209,0.17936,0.1182,0.138,0.16938,0.12158,0.10468,0.09299,0.20252,0.37334,0.43244,0.7703,0.56982,0.70056,0.588150458,0.625065047
        Tunisia,5.812,5.937,6.314,6.872,7.457,8.004,8.563,9.405,9.964,10.714,11.135,11.676,12.293,12.976,13.281,12.92112,13.50536,14.34644,14.95458,15.33848,16.79978,17.0767,17.8685,18.35076,18.48988,19.17152,19.5234,20.53774,19.57393591,20.92347402
        Uganda,0.9823,0.9672,1.0065,1.0449,1.1176,1.251,1.266,1.264,1.587,1.583,1.712,1.8,1.937,1.953,1.5705572,1.964,2.314,2.399,2.68961,2.61412,1.9574,2.59183,2.80655,2.86793,3.77268,3.91354,4.31537,4.31865,4.44987172,4.40101286
        Western Sahara,0.08,0.08,0.08,0.082,0.082,0.082,0.082,0.08,0.08,0.08,0.085,0.085,0.085,0.085,0.09,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0
        Zambia,7.72,7.721,7.714,7.842,7.091,7.859,7.524,7.684,7.757,7.9,8.107,8.261,8.458,8.886,9.666,9.6042,9.4912,9.862,10.409304,11.447532,12.31092,13.231964,14.358504,13.359864,11.620963,14.434903,16.131655,14.660972,15.105044,17.714251
        Zimbabwe,8.188,7.359,7.171,7.429,6.991,6.966,6.304,6.813,6.738,7.582,8.263,8.539,9.411,9.035,7.68,7.35,7.387,7.112,8.44068,8.92854,8.92948,9.2557,9.70712,9.38778,6.82494,7.34946,9.187,8.230839,7.594009611,8.030893985
